Date,AAPL,NIO,TSLA,GE,C,CCL,PTON,F,BAC,AMD,NKLA,INO,SIRI,VALE,WFC,AAL,DKNG,OXY,NCLH,ORCL,PCG,COTY,INTC,SNAP,QRTEA,NOK,XOM,JPM,UBER,M,DAL,MSFT,MRO,UAL,T,ABEV,TSM,ITUB,PFE,WKHS,GM,CSCO,ET,SQ,CMCSA,PBR,NVDA,PLUG,MGM,AM,FCX,NLY,BA,MU,KGC,KMI,AUY,PINS,BBD,SCHW,KR,BP,OPK,GOLD,HST,WMB,PENN,KHC,GFI,SLB,MRK,ROKU,LYFT,WMT,CVS,LUV,FDX,HBAN,KO,VZ,LI,APPS,EPD,MRNA,TME,APA,SPCE,DVN,CVX,OSTK
3/14/2022,149.713089,14.10000038,255.456665,71.85866547,52.03170013,17.12000084,20.20000076,14.23501205,40.19865799,102.25,6.869999886,3.019999981,6.066154957,16.49715042,48.62461472,14.25,15.26000023,55.10063553,17.05999947,75.43704224,11.18999958,7.980000019,42.51233292,28,4.840000153,4.836234093,79.02076721,125.0314636,29.27000046,23.01760674,32.06999969,273.7543945,21.89947701,35.02000046,16.06225204,2.485782385,96.69841766,4.608230114,50.52738953,3.039999962,40.55212402,52.14622879,9.039604187,94.84999847,43.35317993,8.315713882,213.1008606,22.48999977,38.79005051,8.729188919,43.59466934,23.26742935,175.5200043,68.72862244,5.138743401,16.50197983,5.271657944,22.37000084,3.765284777,82.25868225,54.28232574,26.68315887,3.049999952,22.7456665,17.18831635,29.49537849,40.29999924,36.16773605,14.94791031,40.87512207,75.50298309,100.6900024,35.38999939,141.2417908,101.1936264,39.68153381,206.3738708,14.18069172,56.85695648,48.7878952,17.60000038,31.51000023,22.83334541,150.0700073,3.119999886,36.67408371,6.789999962,48.70447922,161.187851,43.40000153
3/15/2022,154.1561584,14.93000031,267.2966614,71.78093719,52.87602615,18.04000092,22.61000061,14.52441502,40.49137115,109.3300018,7.309999943,3.140000105,6.144936562,15.97814083,48.86841965,15.56999969,16.12999916,54.04996109,18.25,78.89224243,11.5,8.460000038,42.9048996,29.57999992,4.960000038,4.913304806,74.52350616,127.250267,29.79999924,24.05286598,34.86000061,284.360321,21.37617874,38.24000168,16.20259285,2.485782385,99.41531372,4.59872961,50.48871231,3.230000019,41.84326935,53.39466095,8.975167274,103.0899963,43.90269089,8.06278801,229.5154877,23.09000015,40.07971954,8.666453362,43.35965347,23.49944115,179.8899994,72.40272522,5.226004601,16.29499626,5.361176014,22.73999977,3.718452692,82.16976166,55.0365181,26.86513138,3.319999933,22.87075043,17.42837715,29.46690178,42.22999954,36.29248428,15.24419117,38.62231827,76.33781433,101.8300018,35.74000168,142.9380493,103.6050949,41.62108231,211.3589783,14.11469269,57.90590286,49.0295105,19.75,32.58000183,22.4617691,148.1199951,3.579999924,35.81529617,7.360000134,49.00027847,153.0279236,45.31000137
3/16/2022,158.6290588,18.75,280.0766602,73.60752106,54.49751663,19.32999992,23.30999947,14.99469662,41.75976944,115.3700027,8.140000343,3.299999952,6.115393162,16.45080948,50.32150269,16.46999931,18.31999969,52.52352142,19.31999969,78.26580811,12,8.930000305,44.64751816,32.56000137,5.190000057,5.067448139,74.24362946,132.936554,32.61000061,25.92020416,36.93000031,291.5299988,21.31694031,41.18999863,16.27276802,2.56168437,103.4173737,4.722248077,51.1753006,3.700000048,43.55156326,53.59634018,9.058013916,116.0500031,44.56787872,8.179997444,244.7312775,24,42.1591835,8.917395592,45.45517349,23.46629524,188.9900055,78.8992691,5.352049351,16.22914124,5.321390152,24.30999947,3.84021616,87.87037659,53.86115646,27.40147591,3.480000019,22.7168045,18.11014748,29.67575073,44.77000046,36.15813828,15.03392696,37.26473999,75.8330307,114.9100037,37.86000061,142.5164337,103.7309799,42.67002106,220.8404541,14.54841042,57.75050354,48.77859879,26.04999924,38.18000031,22.40603256,169.3600006,4.630000114,35.96167755,7.989999771,48.49188232,152.4768524,48.49000168
3/17/2022,159.6528625,18.81999969,290.5333252,74.25266266,54.96765137,19.14999962,24.70000076,14.99469662,41.98418045,111.6900024,8.619999886,3.529999971,6.154784203,17.33127785,50.20447159,16.54999924,18.98999977,57.49932861,19.69000053,78.89224243,11.76000023,8.909999847,45.13583755,33.97000122,5.139999866,5.125251293,76.2220459,134.6174927,32.84999847,26.46202087,37.15000153,292.3519287,22.77821922,41.41999817,16.27276802,2.628098249,104.2001724,4.883774281,52.45178223,4.190000057,43.36285782,53.94205475,9.113245964,127.9599991,44.80889511,8.031943321,247.4287567,25.65999985,41.92924118,9.078715324,47.5800705,23.49944115,190.1900024,79.74103546,5.507181168,16.52079201,5.430801868,24.88999939,3.887048244,88.70027161,54.51739883,27.81331444,3.650000095,23.16902351,18.09094238,29.93206787,44.90999985,36.22531128,15.04348469,38.86825562,76.62902832,119.8799973,37.79000092,142.7329712,105.135231,42.33356857,222.8442841,14.46745205,58.36239243,48.65779495,25.10000038,40.72999954,22.5639534,168.2599945,4.190000057,38.47948456,8.989999771,53.16913605,155.1162567,52.09000015
3/18/2022,162.99263,20.86000061,301.7966614,74.29929352,55.02521896,19.45999908,26.62000084,15.2479229,41.85734177,113.4599991,8.869999886,3.75999999,6.233565331,17.66492653,50.14595795,16.75,19.62000084,55.74491501,19.89999962,79.94937134,11.57999992,9.06000042,45.43266296,36,5.170000076,5.134885311,75.92286682,134.5694885,33.36000061,26.7426033,37.68000031,297.5112915,22.78809547,42.34999847,16.29381752,2.694512367,104.4252243,4.959785461,52.71287918,4.380000114,44.51496506,53.74999237,9.01198864,140.6399994,45.22343063,8.179997444,264.28302,26.14999962,42.1591835,9.222110748,47.08067322,23.96346283,192.8300018,78.64178467,5.410223961,16.33263016,5.341283321,26.31999969,3.915146828,88.91762543,54.67411041,27.52598572,3.74000001,22.96696854,18.27338982,29.86561203,44.86000061,36.10056305,14.90012264,39.08469009,76.79405212,124.8499985,38.61999893,143.1562347,103.9149857,42.78876877,213.9786072,14.40078354,58.37210846,47.20809937,28.19000053,43.04000092,22.41531944,178.9299927,5.059999943,38.167202,9.430000305,53.8624115,156.3634338,52.31999969
3/21/2022,164.3842163,20.26000023,307.0533447,73.70079803,54.67021942,18.95000076,26.25,14.90425777,41.79880142,115.9199982,8.850000381,3.630000114,6.19417429,18.48051834,49.87289429,16.09000015,18.79000092,60.42335892,19.62999916,79.24462128,11.30000019,8.880000114,45.37520599,35.16999817,5.090000153,5.105983734,79.3296051,134.1372375,31.97999954,25.91052818,36.09000015,296.2536316,24.73317909,40.84999847,16.25171471,2.713487625,104.6209183,5.149815559,52.40343094,4.260000229,43.3132019,53.77879333,9.113245964,134.8200073,44.99206161,8.513119698,267.0903931,25.80999947,41.8192749,9.302770615,48.4809494,23.59887314,185.8999939,77.59203339,5.536268234,17.00061226,5.520320892,25.54000092,4.046276569,87.93952942,54.53699112,28.54121017,3.569999933,23.38070107,17.71644783,30.85290718,43.31000137,36.10056305,15.25374985,40.52097321,76.74551392,120.5100021,36.84999847,141.9652405,104.0021439,42.33356857,217.1554108,14.3626852,58.83830643,47.48688507,26.32999992,41.90999985,22.81476593,175.3800049,4.650000095,39.89453125,9.350000381,56.79262543,159.1768646,48.77999878
3/22/2022,167.8034973,21.77000046,331.3266602,73.76298523,55.16914368,18.93000031,27.53000069,15.45593262,43.10622787,114.7799988,9.199999809,3.75,6.312345982,18.12833023,52.06715012,16.55999947,19.40999985,59.11497498,19.90999985,80.06682587,11.61999989,8.979999542,46.33269501,36.24000168,5.199999809,5.173421383,78.9821701,136.9899902,33.34999847,26.0266304,36.97999954,301.1060486,24.34811211,42.20000076,16.28680038,2.751438856,104.7383423,5.244831562,51.29135132,4.409999847,44.25673294,53.94205475,9.389406204,141.7899933,45.52228928,8.482275009,264.9923401,27.25,41.95923615,9.383431435,48.82367706,23.93031883,191.0399933,78.35459137,5.487789631,16.86889839,5.490481377,26.45000076,4.130574226,91.09117126,55.40871429,28.41670227,3.599999905,23.31334686,17.86048508,30.49216652,43.97999954,36.41723251,14.94791031,40.5308075,76.97849274,125.5400009,38.25,141.5419922,103.8471985,42.61064911,221.4660645,14.68651199,59.05197906,47.39395905,27.32999992,43.43000031,22.80547333,186.7200012,5.099999905,39.54320908,9.649999619,56.04389572,158.6451111,50.59999847
3/23/2022,169.1851196,21.87000084,333.0366821,72.8302536,54.06575775,18.29999924,28.70999908,15.08513451,42.04272461,113.9199982,9.140000343,3.650000095,6.302499294,18.47125053,49.85339355,16.20999908,18.90999985,59.31322098,19.39999962,78.68669128,11.57999992,8.75,46.21780014,35.88000107,4.989999771,5.086716175,80.22711945,134.2621155,33.06000137,24.89461708,36.22000122,296.5804443,25.25647545,41.52999878,16.28680038,2.770414114,103.0846863,5.301840782,50.46936417,4.440000057,43.48204041,52.31908798,9.288146973,135.3999939,44.84745407,8.753707886,256.100647,27.63999939,41.39937973,9.499938965,48.77471161,23.79774094,186.0399933,74.91815186,5.507181168,17.0476532,5.709304333,25.65999985,4.15867281,88.67063904,55.29118347,29.46065903,3.450000048,23.64048386,17.63002777,31.05226707,42.20999908,36.73390198,15.67427826,41.72115707,77.39591217,125.3399963,38.43000031,139.7210236,102.8496857,42.4226265,216.4809418,14.27696609,58.66348267,47.36607742,27.28000069,42.40000153,23.21421242,178.7299957,5.369999886,39.72862244,9.569999695,57.00522995,160.3563995,49
3/24/2022,173.0218964,21.97999954,337.9733276,73.15670776,54.13291931,18.48999977,28.94000053,15.22079277,42.02320862,120.5299988,9.659999847,3.75999999,6.400975227,18.5546627,50.05819321,16.71999931,19.04999924,57.24161911,19.75,80.49749756,11.81999969,8.819999695,49.42536926,37.04999924,5.03000021,5.144519329,80.46839142,135.1361847,34.70000076,25.49448776,37.25999832,301.1456909,25.20710945,42.77999878,16.37100601,2.770414114,105.5994186,5.358849049,50.8561821,4.489999771,44.04816437,52.33829498,9.435432434,135.0599976,45.11738205,8.920269012,281.2371521,28.45999908,42.14918518,9.670220375,50.38062668,23.89717484,189.0500031,77.4533844,5.487789631,17.21699715,5.619786263,26.34000015,4.233604431,89.83644104,55.58502579,29.44150352,3.480000019,23.57313347,17.95651245,31.26111412,43.16999817,37.069767,15.21551991,41.94742203,78.05599213,127.3300018,38.97999954,140.587204,104.6413269,43.46166992,220.0487366,14.41983128,59.22680664,47.39395905,27.86000061,43.66999817,23.43715668,179.6799927,5.21999979,39.79693604,9.729999542,56.88506317,160.7817841,49.33000183
3/25/2022,173.667984,19.90999985,336.8800049,73.07897949,54.43995285,18.38999939,28.42000008,14.89521313,42.66716385,119.6699982,10.10999966,3.630000114,6.46006155,18.48051834,51.25771332,17.01000023,18.20000076,58.19316483,19.86000061,79.99830627,11.97999954,8.920000076,49.62644196,35.40000153,5.019999981,5.173421383,82.22484589,136.3176422,34.06000137,25.33968353,37.90999985,300.7297363,25.71065903,43.18000031,16.72888184,2.846315861,104.4350128,5.434862137,51.03992081,4.329999924,43.35292816,52.78964996,9.73000145,130.3300018,45.43552017,9.062153816,276.661438,27.95000076,42.18917465,10.297575,50.85065079,24.09604073,188.9499969,77.34444427,5.555659771,17.94143105,5.639678955,25.48999977,4.346000195,90.26126862,55.8298912,29.73840904,3.50999999,23.61162186,18.33100319,32.1629715,41.52000046,37.70311356,14.95746613,42.97053146,78.95876312,123.75,37.50999832,141.197464,105.135231,43.91687393,221.4562683,14.61984253,59.76099396,47.65415192,26.39999962,42.13000107,23.66009903,165.9199982,4.960000038,40.528862,9.430000305,57.77244568,163.6919098,46.83000183
3/28/2022,174.5426788,21.20999908,363.9466553,71.50888824,53.65319061,19.39999962,28.06999969,15.07609177,42.491539,120.2399979,10.39999962,3.569999933,6.499452114,18.50831985,50.52629471,17.29999924,18.64999962,56.14139175,20.54000092,81.82868195,12.03999996,9.039999962,49.32004547,36.22999954,4.900000095,5.192689419,79.91829681,135.309082,34.77000046,24.74948883,38.34000015,307.6815491,24.97014427,43.86000061,16.74993324,2.903242111,104.0436096,5.396854877,51.52343369,4.429999828,43.91904831,52.95290756,10.0153656,138.1199951,45.82113647,8.74753952,281.9265442,28.07999992,42.17918015,9.974935532,49.22515106,24.26176262,188.1600037,79.0874176,5.419919491,17.64036751,5.470588207,26.45000076,4.317900658,90.69597626,55.8298912,28.66571808,3.579999924,23.31334686,18.34060669,31.61236382,41.65000153,37.79907227,14.78543282,41.05220032,78.83257294,128.3600006,37.59000015,143.7074432,104.6316452,43.95645523,224.8676758,14.37220955,60.13977432,47.5519371,26.47999954,43.04000092,23.71583939,173.0800018,5.21999979,38.88935471,9.760000229,55.87751389,160.8301392,47.43000031
3/29/2022,177.8824463,21.87999916,366.5233459,73.56865692,54.18089676,19.93000031,30.88999939,16.05282402,42.38421249,123.2300034,11.32999992,3.819999933,6.519147396,18.48978424,50.32150269,18.15999985,20.69000053,56.29006958,21.18000031,82.50406647,12.01000023,9.420000076,50.02858734,37.86999893,5.119999886,5.32756424,79.49365997,135.6068268,37.18999863,25.73637199,39.52000046,312.3457947,24.68381119,45.66999817,16.83414078,3.017094851,106.9008179,5.510873795,51.00123596,4.960000038,45.94515991,53.46188736,10.17185593,146.8399963,46.06214905,8.938776016,286.29245,29.64999962,43.59881592,9.983898163,49.04888916,24.62635231,193.8000031,81.25624084,5.584747314,17.77208328,5.510374069,26.67000008,4.402197838,90.12295532,55.23241806,28.35923767,3.75,23.60199738,19.03198051,31.74527168,44.34999847,37.77988052,14.63251305,41.93758392,79.18202972,137.5599976,40.15999985,144.9181213,101.3776398,44.8569603,233.1957397,14.60079384,60.37288284,47.62627411,26.60000038,46.97000122,23.93878365,180.6399994,5.210000038,39.97260284,11.01000023,55.93297195,158.8674927,51.70000076
3/30/2022,176.6996155,22.17000008,364.6633301,73.51425934,52.74170303,19.60000038,28.44000053,15.61872196,41.95491028,119.2200012,11.11999989,3.650000095,6.538842201,18.56393051,48.86841965,18.04999924,20.40999985,56.97399521,21.21999931,81.59377289,12.09000015,9.050000191,49.24344635,36.84000015,4.869999886,5.32756424,80.85443115,134.9920959,36.58000183,24.73981094,39.33000183,310.8108215,25.17748642,45.86000061,16.939394,2.979144096,104.4350128,5.49187088,50.71112442,5.03000021,44.91224289,53.82681274,10.6137104,140.1000061,45.97539139,9.049816132,276.6414795,28.38999939,43.14893341,9.87635231,49.72455215,24.21648216,194.9100037,78.39419556,5.739878654,17.96024895,5.530267239,25.69000053,4.364732742,87.69254303,55.21282196,28.79980659,3.539999962,23.90989304,19.16661835,31.94462585,44,37.80867004,14.85233498,41.52440262,79.98773193,129.9499969,38.65000153,147.5166626,100.2832794,45.0944519,229.9505157,14.18172455,60.42144394,47.96082306,27.12999916,45.11000061,24.21746635,174.9199982,4.980000019,40.20682144,10.68999958,55.97918701,159.9890137,46.72000122
3/31/2022,173.5586395,21.04999924,359.2000122,71.12026215,51.23534393,20.21999931,26.42000008,15.29314232,40.21817017,109.3399963,10.71000004,3.589999914,6.519147396,18.52685738,47.25929642,18.25,19.46999931,56.24050903,21.87999916,80.97711945,11.93999958,8.989999771,47.45295334,35.99000168,4.760000229,5.260126591,79.70598602,130.9387054,35.68000031,23.56910133,39.56999969,305.3147583,24.79241943,46.36000061,16.58152008,3.064533472,102.0181198,5.425361156,50.06322098,5,43.44231796,53.54831696,10.30072975,135.6000061,45.13666916,9.130011559,272.6052551,28.61000061,41.92924118,9.741918564,48.70616913,24.04570389,191.5,77.13647461,5.701096058,17.79089928,5.550160408,24.61000061,4.346000195,83.29605103,56.19229889,28.15810776,3.440000057,23.60199738,18.68576813,31.71678543,42.41999817,37.79907227,14.77587509,40.63902283,79.64797974,125.2699966,38.40000153,146.5815887,98.01709747,45.322052,226.177475,13.92456627,60.21748352,47.33819199,25.80999947,43.81000137,23.9759407,172.2599945,4.869999886,40.33368683,9.880000114,54.65735626,157.4269409,44.00999832
